iter	Passed	Remaining
0	3	3354
1	7	3596
2	10	3328
3	12	3203
4	15	3105
5	18	3066
6	21	3095
7	24	3053
8	27	3009
9	29	2967
10	32	2939
11	35	2917
12	38	2914
13	41	2898
14	43	2883
15	46	2874
16	49	2861
17	52	2844
18	56	2928
19	58	2879
20	61	2869
21	64	2863
22	67	2849
23	71	2917
24	74	2914
25	77	2905
26	80	2890
27	82	2877
28	86	2899
29	90	2932
30	94	2942
31	96	2932
32	99	2924
33	102	2925
34	105	2915
35	108	2904
36	111	2896
37	114	2887
38	116	2876
39	120	2885
40	122	2874
41	125	2867
42	128	2858
43	131	2849
44	134	2860
45	137	2857
46	140	2848
47	143	2839
48	146	2834
49	148	2826
50	151	2826
51	154	2823
52	157	2816
53	160	2812
54	163	2805
55	167	2816
56	170	2813
57	173	2810
58	175	2802
59	178	2797
60	181	2792
61	185	2799
62	187	2794
63	190	2789
64	193	2783
65	196	2777
66	200	2790
67	203	2786
68	206	2779
69	208	2773
70	211	2770
71	213	2755
72	218	2768
73	220	2763
74	223	2759
75	226	2754
76	229	2749
77	233	2760
78	236	2755
79	239	2749
80	241	2742
81	244	2735
82	247	2733
83	250	2732
84	253	2728
85	256	2723
86	259	2718
87	262	2718
88	266	2731
89	269	2726
90	272	2719
91	274	2713
92	277	2707
93	280	2706
94	283	2701
95	286	2696
96	289	2691
97	291	2686
98	294	2684
99	296	2664
100	298	2660
101	301	2655
102	304	2651
103	307	2647
104	310	2642
105	313	2645
106	316	2641
107	319	2637
108	322	2633
109	324	2627
110	328	2627
111	331	2626
112	334	2621
113	336	2617
114	339	2613
115	342	2609
116	345	2608
117	348	2604
118	351	2601
119	354	2596
120	356	2592
121	359	2589
122	363	2591
123	366	2589
124	369	2585
125	372	2582
126	375	2579
127	378	2580
128	381	2577
129	384	2574
130	387	2569
131	390	2565
132	393	2567
133	396	2563
134	399	2559
135	402	2558
136	405	2554
137	406	2538
138	409	2536
139	412	2532
140	415	2530
141	418	2526
142	420	2521
143	423	2520
144	427	2521
145	431	2522
146	434	2523
147	438	2524
148	443	2535
149	447	2533
150	450	2530
151	452	2526
152	455	2522
153	460	2527
154	463	2524
155	465	2520
156	468	2516
157	471	2512
158	474	2511
159	477	2507
160	480	2503
161	483	2500
162	486	2495
163	490	2499
164	494	2501
165	497	2498
166	500	2495
167	503	2491
168	506	2489
169	509	2486
170	512	2482
171	514	2478
172	517	2474
173	520	2470
174	524	2471
175	527	2468
176	530	2464
177	532	2460
178	535	2456
179	538	2453
180	541	2448
181	543	2444
182	546	2440
183	549	2437
184	552	2433
185	555	2432
186	558	2429
187	561	2426
188	564	2422
189	567	2418
190	570	2415
191	573	2413
192	576	2410
193	579	2407
194	582	2403
195	585	2399
196	588	2400
197	591	2396
198	594	2392
199	597	2388
200	600	2385
201	603	2383
202	606	2379
203	609	2376
204	611	2372
205	614	2369
206	617	2364
207	620	2362
208	623	2358
209	626	2355
210	628	2351
211	631	2347
212	634	2345
213	638	2344
214	640	2340
215	643	2336
216	646	2332
217	649	2328
218	653	2331
219	656	2328
220	659	2324
221	662	2321
222	665	2317
223	668	2315
224	671	2312
225	674	2308
226	676	2304
227	679	2300
228	683	2301
229	686	2299
230	689	2295
231	692	2291
232	694	2287
233	697	2284
234	701	2283
235	704	2279
236	707	2276
237	709	2272
238	712	2269
239	717	2271
240	720	2267
241	722	2264
242	725	2260
243	728	2257
244	731	2254
245	734	2251
246	737	2247
247	739	2243
248	742	2239
249	745	2236
250	748	2233
251	751	2229
252	753	2225
253	756	2221
254	759	2217
255	762	2214
256	767	2218
257	772	2220
258	774	2216
259	777	2212
260	781	2211
261	784	2208
262	787	2205
263	789	2201
264	792	2198
265	795	2194
266	798	2192
267	801	2188
268	804	2185
269	807	2182
270	809	2178
271	813	2177
272	816	2173
273	819	2170
274	821	2167
275	825	2165
276	828	2162
277	831	2158
278	833	2155
279	836	2152
280	840	2150
281	843	2146
282	846	2143
283	849	2140
284	852	2138
285	856	2137
286	859	2134
287	862	2131
288	864	2127
289	867	2124
290	870	2120
291	873	2117
292	876	2114
293	879	2111
294	882	2107
295	884	2104
296	889	2106
297	891	2099
298	894	2097
299	897	2094
300	900	2090
301	903	2088
302	906	2085
303	909	2082
304	912	2078
305	914	2075
306	916	2068
307	919	2065
308	922	2062
309	925	2058
310	927	2055
311	930	2051
312	933	2048
313	936	2045
314	939	2042
315	941	2038
316	944	2035
317	947	2031
318	950	2028
319	954	2029
320	957	2025
321	960	2022
322	963	2019
323	966	2015
324	969	2014
325	972	2010
326	975	2007
327	978	2003
328	980	1999
329	983	1996
330	986	1993
331	989	1990
332	991	1986
333	994	1983
334	997	1979
335	1000	1976
336	1003	1973
337	1006	1970
338	1008	1967
339	1011	1963
340	1015	1961
341	1018	1960
342	1021	1956
343	1024	1953
344	1026	1949
345	1029	1946
346	1035	1947
347	1038	1944
348	1041	1941
349	1043	1938
350	1046	1934
351	1049	1932
352	1052	1928
353	1055	1925
354	1057	1922
355	1060	1918
356	1063	1915
357	1067	1913
358	1069	1910
359	1072	1906
360	1075	1903
361	1078	1900
362	1081	1897
363	1084	1894
364	1087	1891
365	1090	1888
366	1092	1885
367	1095	1881
368	1099	1880
369	1102	1876
370	1105	1873
371	1107	1870
372	1110	1867
373	1113	1864
374	1116	1861
375	1119	1857
376	1122	1854
377	1125	1851
378	1127	1847
379	1130	1845
380	1133	1841
381	1136	1838
382	1139	1835
383	1142	1831
384	1144	1828
385	1148	1826
386	1151	1823
387	1153	1819
388	1156	1816
389	1159	1813
390	1163	1812
391	1166	1809
392	1169	1806
393	1172	1803
394	1175	1799
395	1178	1797
396	1181	1794
397	1184	1791
398	1187	1788
399	1189	1784
400	1192	1781
401	1196	1779
402	1199	1776
403	1202	1773
404	1205	1770
405	1207	1767
406	1210	1764
407	1213	1761
408	1216	1758
409	1219	1755
410	1222	1751
411	1225	1748
412	1229	1747
413	1231	1743
414	1234	1740
415	1237	1737
416	1240	1734
417	1243	1731
418	1246	1728
419	1249	1724
420	1251	1721
421	1254	1718
422	1257	1715
423	1260	1712
424	1263	1709
425	1266	1706
426	1269	1703
427	1272	1700
428	1275	1697
429	1278	1695
430	1281	1691
431	1284	1688
432	1287	1685
433	1290	1682
434	1295	1683
435	1299	1680
436	1301	1676
437	1304	1673
438	1307	1670
439	1310	1667
440	1313	1664
441	1316	1661
442	1318	1658
443	1321	1654
444	1324	1652
445	1327	1648
446	1330	1645
447	1333	1642
448	1336	1639
449	1338	1636
450	1342	1634
451	1345	1631
452	1348	1627
453	1350	1624
454	1353	1621
455	1357	1619
456	1360	1616
457	1363	1613
458	1366	1610
459	1369	1607
460	1372	1604
461	1375	1601
462	1378	1598
463	1380	1595
464	1383	1592
465	1386	1588
466	1389	1585
467	1392	1582
468	1394	1579
469	1397	1576
470	1400	1572
471	1402	1569
472	1406	1567
473	1409	1564
474	1412	1560
475	1414	1557
476	1417	1554
477	1421	1552
478	1424	1549
479	1428	1547
480	1431	1545
481	1435	1542
482	1440	1541
483	1443	1539
484	1446	1535
485	1449	1532
486	1451	1529
487	1454	1526
488	1457	1522
489	1460	1519
490	1462	1516
491	1465	1513
492	1469	1510
493	1472	1508
494	1475	1504
495	1477	1501
496	1480	1498
497	1483	1495
498	1487	1493
499	1490	1490
500	1492	1486
501	1495	1483
502	1498	1480
503	1501	1477
504	1504	1474
505	1507	1471
506	1509	1468
507	1512	1464
508	1515	1461
509	1518	1458
510	1521	1455
511	1523	1452
512	1526	1449
513	1529	1446
514	1532	1443
515	1534	1439
516	1537	1436
517	1540	1433
518	1543	1430
519	1546	1427
520	1549	1424
521	1552	1421
522	1555	1418
523	1558	1415
524	1560	1412
525	1563	1409
526	1567	1406
527	1570	1403
528	1573	1400
529	1576	1397
530	1578	1394
531	1581	1391
532	1584	1388
533	1587	1385
534	1590	1382
535	1593	1379
536	1595	1375
537	1598	1372
538	1602	1370
539	1604	1367
540	1607	1363
541	1610	1360
542	1613	1357
543	1616	1355
544	1619	1352
545	1622	1349
546	1625	1345
547	1627	1342
548	1629	1338
549	1632	1335
550	1635	1332
551	1638	1329
552	1640	1326
553	1643	1323
554	1648	1321
555	1651	1318
556	1653	1315
557	1656	1312
558	1659	1308
559	1661	1305
560	1666	1304
561	1669	1300
562	1672	1297
563	1674	1294
564	1677	1291
565	1681	1289
566	1686	1287
567	1689	1285
568	1692	1282
569	1695	1278
570	1698	1275
571	1701	1272
572	1703	1269
573	1706	1266
574	1709	1263
575	1712	1260
576	1714	1257
577	1717	1254
578	1720	1250
579	1723	1247
580	1725	1244
581	1729	1241
582	1732	1238
583	1734	1235
584	1737	1232
585	1740	1229
586	1743	1226
587	1747	1224
588	1749	1220
589	1752	1217
590	1755	1214
591	1757	1211
592	1761	1208
593	1764	1205
594	1766	1202
595	1769	1199
596	1772	1196
597	1775	1193
598	1778	1190
599	1781	1187
600	1784	1184
601	1787	1181
602	1790	1178
603	1793	1175
604	1796	1172
605	1799	1169
606	1802	1166
607	1804	1163
608	1807	1160
609	1811	1158
610	1814	1154
611	1816	1151
612	1819	1148
613	1822	1145
614	1825	1142
615	1828	1139
616	1831	1136
617	1834	1133
618	1836	1130
619	1839	1127
620	1842	1124
621	1844	1121
622	1847	1118
623	1850	1115
624	1853	1111
625	1856	1108
626	1859	1106
627	1862	1103
628	1865	1100
629	1867	1096
630	1870	1093
631	1874	1091
632	1877	1088
633	1880	1085
634	1883	1082
635	1886	1079
636	1889	1076
637	1892	1073
638	1894	1070
639	1897	1067
640	1900	1064
641	1902	1061
642	1905	1057
643	1908	1054
644	1911	1051
645	1913	1048
646	1916	1045
647	1919	1042
648	1922	1039
649	1925	1036
650	1928	1033
651	1931	1030
652	1933	1027
653	1936	1024
654	1940	1022
655	1943	1019
656	1946	1016
657	1949	1013
658	1951	1009
659	1954	1006
660	1957	1003
661	1960	1000
662	1963	997
663	1965	994
664	1968	991
665	1972	989
